
"Banco de México"

"Sistemas de pago de bajo valor"
"Número de operaciones tercero a tercero en SPEI"

"Fecha de consulta: 25/07/2026 12:23:09"

""

"Título","Número de operaciones tercero a tercero en SPEI - Mayores a 8 mil y menores a 300 mil"
"Periodo disponible","01/01/2009 - 20/07/2026"
"Periodicidad","Diaria"
"Cifra","Flujos"
"Unidad","Sin Unidad"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF336087"
13/09/2010,117756
14/09/2010,159618
15/09/2010,149419
16/09/2010,N/E
17/09/2010,N/E
18/09/2010,N/E
19/09/2010,N/E
20/09/2010,140045
21/09/2010,103980
22/09/2010,94279
23/09/2010,102896
24/09/2010,146913
25/09/2010,N/E
26/09/2010,0
27/09/2010,106742
28/09/2010,107517
29/09/2010,137181
30/09/2010,197128
01/10/2010,131484
02/10/2010,N/E
03/10/2010,N/E
04/10/2010,105074
05/10/2010,109519
06/10/2010,95524
07/10/2010,109528
08/10/2010,154579
09/10/2010,0
10/10/2010,N/E
11/10/2010,107161
12/10/2010,92554
13/10/2010,98762
14/10/2010,132501
15/10/2010,181108
16/10/2010,N/E
17/10/2010,N/E
18/10/2010,116706
19/10/2010,96956
20/10/2010,98206
21/10/2010,104805
22/10/2010,147417
23/10/2010,N/E
24/10/2010,N/E
25/10/2010,111663
26/10/2010,100944
27/10/2010,107995
28/10/2010,139591
29/10/2010,236083
30/10/2010,N/E
31/10/2010,N/E
01/11/2010,107374
02/11/2010,N/E
03/11/2010,122222
04/11/2010,121558
05/11/2010,163034
06/11/2010,N/E
07/11/2010,N/E
08/11/2010,112172
09/11/2010,104149
10/11/2010,109742
11/11/2010,119929
12/11/2010,195113
13/11/2010,N/E
14/11/2010,N/E
15/11/2010,N/E
16/11/2010,152173
17/11/2010,118431
18/11/2010,118493
19/11/2010,163906
20/11/2010,N/E
21/11/2010,N/E
22/11/2010,107561
23/11/2010,105776
24/11/2010,103007
25/11/2010,118744
26/11/2010,168479
27/11/2010,N/E
28/11/2010,0
29/11/2010,153875
30/11/2010,213086
01/12/2010,108542
02/12/2010,114984
03/12/2010,177548
04/12/2010,N/E
05/12/2010,N/E
06/12/2010,132313
07/12/2010,117826
08/12/2010,117029
09/12/2010,133518
10/12/2010,195786
11/12/2010,N/E
12/12/2010,N/E
13/12/2010,138662
14/12/2010,155339
15/12/2010,172497
16/12/2010,155996
17/12/2010,200642
18/12/2010,N/E
19/12/2010,N/E
20/12/2010,150695
21/12/2010,139316
22/12/2010,145815
23/12/2010,162061
24/12/2010,93281
25/12/2010,N/E
26/12/2010,N/E
27/12/2010,94983
28/12/2010,106035
29/12/2010,126550
30/12/2010,166273
31/12/2010,135502
01/01/2011,N/E
02/01/2011,N/E
03/01/2011,73119
04/01/2011,78969
05/01/2011,95725
06/01/2011,88694
07/01/2011,133458
08/01/2011,N/E
09/01/2011,N/E
10/01/2011,112995
11/01/2011,93515
12/01/2011,90068
13/01/2011,113407
14/01/2011,196033
15/01/2011,N/E
16/01/2011,N/E
17/01/2011,124512
18/01/2011,97067
19/01/2011,91994
20/01/2011,104187
21/01/2011,145501
22/01/2011,N/E
23/01/2011,N/E
24/01/2011,105620
25/01/2011,100920
26/01/2011,94638
27/01/2011,116340
28/01/2011,189473
29/01/2011,N/E
30/01/2011,N/E
31/01/2011,205459
01/02/2011,99815
02/02/2011,88992
03/02/2011,108972
04/02/2011,159051
05/02/2011,N/E
06/02/2011,N/E
07/02/2011,N/E
08/02/2011,129308
09/02/2011,106830
10/02/2011,122917
11/02/2011,164906
12/02/2011,N/E
13/02/2011,N/E
14/02/2011,140933
15/02/2011,141565
16/02/2011,104428
17/02/2011,113479
18/02/2011,156165
19/02/2011,N/E
20/02/2011,N/E
21/02/2011,109083
22/02/2011,103720
23/02/2011,103195
24/02/2011,122514
25/02/2011,202778
26/02/2011,N/E
27/02/2011,N/E
28/02/2011,233052
01/03/2011,111785
02/03/2011,102889
03/03/2011,117993
04/03/2011,168983
05/03/2011,N/E
06/03/2011,N/E
07/03/2011,116324
08/03/2011,105003
09/03/2011,106752
10/03/2011,124564
11/03/2011,171399
12/03/2011,N/E
13/03/2011,N/E
14/03/2011,149431
15/03/2011,151643
16/03/2011,113667
17/03/2011,120805
18/03/2011,169031
19/03/2011,N/E
20/03/2011,N/E
21/03/2011,N/E
22/03/2011,132458
23/03/2011,116041
24/03/2011,120436
25/03/2011,177722
26/03/2011,N/E
27/03/2011,505
28/03/2011,124198
29/03/2011,122658
30/03/2011,150324
31/03/2011,216145
01/04/2011,151704
02/04/2011,N/E
03/04/2011,N/E
04/04/2011,118879
05/04/2011,119328
06/04/2011,107377
07/04/2011,119284
08/04/2011,170199
09/04/2011,N/E
10/04/2011,N/E
11/04/2011,123820
12/04/2011,111176
13/04/2011,115825
14/04/2011,157821
15/04/2011,200015
16/04/2011,N/E
17/04/2011,N/E
18/04/2011,147489
19/04/2011,124680
20/04/2011,158103
21/04/2011,N/E
22/04/2011,N/E
23/04/2011,N/E
24/04/2011,N/E
25/04/2011,125833
26/04/2011,110149
27/04/2011,115222
28/04/2011,156349
29/04/2011,274829
30/04/2011,N/E
01/05/2011,N/E
02/05/2011,125803
03/05/2011,109239
04/05/2011,116314
05/05/2011,116407
06/05/2011,169147
07/05/2011,N/E
08/05/2011,N/E
09/05/2011,130633
10/05/2011,100678
11/05/2011,104677
12/05/2011,134539
13/05/2011,225868
14/05/2011,N/E
15/05/2011,N/E
16/05/2011,141219
17/05/2011,110407
18/05/2011,110377
19/05/2011,116993
20/05/2011,170327
21/05/2011,0
22/05/2011,N/E
23/05/2011,116323
24/05/2011,111162
25/05/2011,113683
26/05/2011,122621
27/05/2011,187618
28/05/2011,N/E
29/05/2011,N/E
30/05/2011,171316
31/05/2011,213270
01/06/2011,111014
02/06/2011,117232
03/06/2011,171458
04/06/2011,N/E
05/06/2011,N/E
06/06/2011,127628
07/06/2011,115384
08/06/2011,108690
09/06/2011,120424
10/06/2011,179016
11/06/2011,N/E
12/06/2011,N/E
13/06/2011,129159
14/06/2011,145038
15/06/2011,158728
16/06/2011,131229
